Method,Num Images,Workers,Execution Time (s)
Parallel,500,1,0.21202802658081055
Parallel,500,2,0.12851786613464355
Parallel,500,4,0.11705255508422852
Parallel,500,8,0.11835432052612305
Sequential,500,,0.1578078269958496
Parallel,1000,1,0.4547293186187744
Parallel,1000,2,0.23677563667297363
Parallel,1000,4,0.2016456127166748
Parallel,1000,8,0.22834324836730957
Sequential,1000,,0.2902209758758545
Parallel,5000,1,2.0330140590667725
Parallel,5000,2,1.2130990028381348
Parallel,5000,4,1.0017578601837158
Parallel,5000,8,1.0070059299468994
Sequential,5000,,1.4684929847717285
Parallel,10000,1,6.4214513301849365
Parallel,10000,2,3.853862762451172
Parallel,10000,4,4.81063985824585
Parallel,10000,8,3.959310531616211
Sequential,10000,,7.904177904129028
Parallel,20000,1,13.613796710968018
Parallel,20000,2,5.607452630996704
Parallel,20000,4,4.800310373306274
Parallel,20000,8,4.854881525039673
Sequential,20000,,7.143544435501099
Parallel,50000,1,21.695883750915527
Parallel,50000,2,13.290557146072388
Parallel,50000,4,11.113792181015015
Parallel,50000,8,14.039307832717896
Sequential,50000,,15.298047304153442
