Year,Month,Temperature,Beer Sales
2018,1,4.7,426
2018,2,5.4,640
2018,3,11.5,618
2018,4,17,746
2018,5,19.8,694
2018,6,22.4,882
2018,7,28.3,963
2018,8,28.1,898
2018,9,22.9,668
2018,10,19.1,661
2018,11,14,769
2018,12,8.3,1119
2019,1,5.6,440
2019,2,7.2,510
2019,3,10.6,681
2019,4,13.6,748
2019,5,20,667
2019,6,21.8,825
2019,7,24.1,825
2019,8,28.4,866
2019,9,25.1,751
2019,10,19.4,582
2019,11,13.1,703
2019,12,8.5,1050
2020,1,7.1,418
2020,2,8.3,518
2020,3,10.7,476
2020,4,12.8,347
2020,5,19.5,416
2020,6,23.2,612
2020,7,24.3,702
2020,8,29.1,611
2020,9,24.2,502
2020,10,17.5,529
2020,11,14,560
2020,12,7.7,827
2021,1,5.4,227
2021,2,8.5,327
2021,3,12.8,472
2021,4,15.1,552
2021,5,19.6,377
2021,6,22.7,551
2021,7,25.9,708
2021,8,27.4,455
2021,9,22.3,385
2021,10,18.2,529
2021,11,13.7,573
2021,12,7.9,925
2022,1,4.9,273
2022,2,5.2,291
2022,3,10.9,579
2022,4,15.3,582
2022,5,18.8,550
2022,6,23,690
2022,7,27.4,723
2022,8,27.5,665
2022,9,24.4,766
2022,10,17.2,353
2022,11,14.5,534
2022,12,7.5,882
