AreaSize,ID,Sex,Japanese,Math,Science
,1,2,82,92,64
,2,2,79,56,28
,3,2,82,81,76
,4,1,67,39,68
,5,2,82,86,64
,6,,82,53,44
,7,2,58,50,24
,8,1,70,61,52
,9,1,61,53,52
,10,1,97,86,88
,11,2,79,81,72
,12,1,82,81,64
,13,2,82,50,24
,14,2,61,53,48
,15,2,88,53,52
,16,2,73,,36
,17,1,88,58,52
,18,1,61,25,24
,19,1,70,61,44
,20,2,42,42,20
,21,1,76,67,64
,22,1,91,67,48
,23,1,85,97,84
,24,2,79,69,60
,25,2,55,56,36
,26,1,73,67,36
,27,1,67,44,48
,28,2,76,53,48
,29,1,67,58,32
,30,1,91,61,52
,31,1,94,83,76
,32,1,91,69,72
,33,2,64,33,16
,34,1,,42,48
,35,2,55,47,52
,36,1,94,92,68
,37,2,88,89,84
,38,2,61,67,52
,39,2,76,72,64
,40,2,82,67,72
,41,1,91,58,48
,42,1,85,64,48
,43,2,55,42,32
,44,2,76,44,44
,45,1,94,86,76
,46,2,73,33,32
,47,2,67,64,52
,48,1,76,75,56
,49,1,67,36,20
,50,1,64,64,24
,51,2,61,31,16
,52,1,70,42,32
,53,1,97,75,84
,54,1,67,58,72
,55,1,39,11,8
,56,2,64,42,36
,57,1,85,64,28
,58,2,61,42,28
,59,1,52,22,32
,60,1,61,39,20
,61,1,70,50,28
,62,2,97,86,88
,63,1,55,31,28
,64,1,67,47,4
,65,2,55,42,40
,66,2,55,58,40
,67,2,67,50,56
,68,2,85,86,60
,69,2,79,64,40
,70,1,88,69,56
,71,2,55,39,44
,72,1,55,61,48
,73,1,,69,52
,74,1,88,86,88
,75,2,70,61,56
,76,,82,78,52
,77,1,88,92,68
,78,2,79,44,40
,79,2,61,64,48
,80,2,52,36,32
,81,2,91,92,76
,82,2,94,78,64
,83,1,88,78,68
,84,1,73,58,40
,85,1,64,78,44
,86,1,73,53,32
,87,1,91,86,76
,88,2,67,75,56
,89,1,88,81,64
,90,1,82,69,72
,91,1,88,64,60
,92,1,64,81,84
,93,2,73,53,56
,94,1,85,75,72
,95,1,94,86,68
,96,2,82,81,32
,97,1,70,53,44
,98,2,88,78,60
,99,1,73,64,44
,100,2,79,94,68
,101,1,85,58,44
,102,1,58,81,84
,103,1,94,67,56
,104,2,76,58,52
,105,1,76,64,32
,106,1,64,75,48
,107,2,58,44,32
,108,2,88,69,52
,109,2,94,97,92
,110,1,79,53,32
,111,1,85,69,56
,112,1,73,69,32
,113,2,82,83,80
,114,2,94,92,96
,115,2,85,69,72
,116,2,79,69,68
,117,1,76,39,48
,118,2,67,67,60
,119,2,88,86,80
